"Time (ps)"	"Channel 2 - Counts per bin"
3640000000000	17760
3650000000000	16427
3660000000000	17384
3670000000000	16741
3680000000000	17456
3690000000000	16711
3700000000000	17363
3710000000000	16486
3720000000000	17708
3730000000000	16468
3740000000000	17643
3750000000000	16508
3760000000000	17579
3770000000000	16815
3780000000000	17563
3790000000000	16700
3800000000000	17511
3810000000000	16844
3820000000000	17402
3830000000000	16968
3840000000000	17402
3850000000000	16971
3860000000000	17188
3870000000000	16809
3880000000000	17188
3890000000000	17128
3900000000000	17060
3910000000000	16889
3920000000000	17546
3930000000000	16720
3940000000000	17373
3950000000000	16826
3960000000000	17346
3970000000000	16559
3980000000000	17987
3990000000000	16461
4000000000000	17530
4010000000000	17022
4020000000000	17167
4030000000000	16879
4040000000000	17155
4050000000000	16783
4060000000000	17158
4070000000000	16675
4080000000000	17526
4090000000000	17258
4100000000000	16796
4110000000000	17013
4120000000000	17140
4130000000000	17003
4140000000000	16879
4150000000000	17192
4160000000000	16991
4170000000000	17428
4180000000000	16203
4190000000000	18038
4200000000000	16379
4210000000000	17554
4220000000000	16827
4230000000000	17315
4240000000000	16548
4250000000000	17422
4260000000000	16343
4270000000000	18653
4280000000000	16121
4290000000000	18396
4300000000000	16187
4310000000000	18461
4320000000000	16102
4330000000000	18343
4340000000000	16388
4350000000000	18230
4360000000000	16504
4370000000000	17691
4380000000000	16521
4390000000000	17484
4400000000000	16910
4410000000000	17550
4420000000000	16680
4430000000000	17648
4440000000000	16362
4450000000000	17999
4460000000000	16319
4470000000000	17210
4480000000000	16728
4490000000000	17474
4500000000000	17051
4510000000000	17524
4520000000000	16416
4530000000000	17459
4540000000000	16760
4550000000000	17338
4560000000000	16923
4570000000000	17577
4580000000000	16725
4590000000000	17569
4600000000000	16618
4610000000000	18216
4620000000000	16841
4630000000000	17901
4640000000000	16782
4650000000000	17390
4660000000000	17410
4670000000000	17103
4680000000000	17099
4690000000000	17636
4700000000000	17146
4710000000000	17386
4720000000000	16980
4730000000000	17433
4740000000000	17161
4750000000000	17256
4760000000000	17534
4770000000000	17063
4780000000000	17617
4790000000000	16904
4800000000000	18005
4810000000000	16692
4820000000000	17933
4830000000000	16548
4840000000000	17896
4850000000000	16836
4860000000000	17542
4870000000000	16548
4880000000000	17400
4890000000000	16664
4900000000000	17713
4910000000000	16494
4920000000000	18047
4930000000000	16828
4940000000000	17864
4950000000000	16830
4960000000000	17501
4970000000000	16853
4980000000000	17573
4990000000000	16712
5000000000000	17527
5010000000000	16630
5020000000000	17315
5030000000000	17289
5040000000000	17419
5050000000000	17577
5060000000000	17306
5070000000000	17023
5080000000000	17304
5090000000000	16930
5100000000000	17129
5110000000000	17265
5120000000000	16727
5130000000000	17496
5140000000000	16708
5150000000000	17537
5160000000000	16727
5170000000000	17171
5180000000000	17129
5190000000000	17278
5200000000000	16911
5210000000000	17300
5220000000000	16613
5230000000000	17415
5240000000000	16890
5250000000000	17369
5260000000000	17074
5270000000000	17218
5280000000000	17117
5290000000000	17546
5300000000000	17052
5310000000000	17347
5320000000000	17180
5330000000000	17130
5340000000000	17067
5350000000000	17320
5360000000000	17057
5370000000000	17046
5380000000000	17246
5390000000000	17270
5400000000000	17062
5410000000000	17076
5420000000000	17013
5430000000000	16994
5440000000000	16921
5450000000000	17080
5460000000000	17296
5470000000000	17020
5480000000000	17066
5490000000000	17233
5500000000000	17119
5510000000000	17326
5520000000000	17181
5530000000000	17582
5540000000000	17112
5550000000000	17187
5560000000000	16840
5570000000000	17126
5580000000000	17017
5590000000000	16760
5600000000000	17382
5610000000000	16950
5620000000000	17249
5630000000000	17164
5640000000000	17164
5650000000000	17466
5660000000000	17147
5670000000000	17277
5680000000000	17179
5690000000000	17039
5700000000000	17358
5710000000000	17006
5720000000000	17176
5730000000000	16898
5740000000000	17084
5750000000000	17178
5760000000000	17472
5770000000000	17239
5780000000000	17188
5790000000000	17074
5800000000000	17103
5810000000000	17092
5820000000000	17043
5830000000000	17286
5840000000000	17292
5850000000000	17191
5860000000000	17171
5870000000000	17199
5880000000000	17150
5890000000000	17262
5900000000000	17281
5910000000000	17270
5920000000000	17053
5930000000000	17353
5940000000000	17160
5950000000000	17112
5960000000000	16924
5970000000000	17121
5980000000000	16992
5990000000000	17416
6000000000000	17185
6010000000000	17179
6020000000000	17277
6030000000000	16695
6040000000000	17367
6050000000000	17097
6060000000000	17220
6070000000000	17276
6080000000000	17550
6090000000000	16826
6100000000000	17404
6110000000000	16599
6120000000000	17453
6130000000000	16840
6140000000000	17481
6150000000000	16569
6160000000000	17279
6170000000000	16578
6180000000000	17787
6190000000000	16570
6200000000000	17370
6210000000000	16584
6220000000000	17554
6230000000000	17012
6240000000000	17250
6250000000000	16992
6260000000000	17255
6270000000000	17125
6280000000000	17373
6290000000000	17364
6300000000000	17076
6310000000000	17424
6320000000000	17147
6330000000000	17138
6340000000000	17150
6350000000000	16988
6360000000000	17268
6370000000000	17097
6380000000000	16996
6390000000000	16941
6400000000000	16865
6410000000000	17038
6420000000000	16899
6430000000000	16961
6440000000000	16772
6450000000000	16903
6460000000000	17157
6470000000000	17068
6480000000000	17055
6490000000000	17059
6500000000000	16805
6510000000000	16928
6520000000000	17210
6530000000000	16954
6540000000000	17394
6550000000000	17143
6560000000000	17642
6570000000000	17192
6580000000000	17153
6590000000000	17247
6600000000000	17264
6610000000000	17369
6620000000000	17323
6630000000000	17481
6640000000000	16626
6650000000000	17865
6660000000000	16452
6670000000000	17735
6680000000000	16773
6690000000000	17217
6700000000000	16957
6710000000000	17463
6720000000000	16853
6730000000000	17330
6740000000000	16521
6750000000000	17487
6760000000000	16774
6770000000000	17236
6780000000000	16814
6790000000000	17342
6800000000000	16626
6810000000000	17428
6820000000000	16511
6830000000000	17317
6840000000000	16715
6850000000000	17511
6860000000000	16825
6870000000000	17612
6880000000000	16947
6890000000000	17293
6900000000000	16774
6910000000000	17188
6920000000000	16758
6930000000000	17160
6940000000000	16819
6950000000000	17193
6960000000000	16869
6970000000000	17460
6980000000000	16732
6990000000000	17007
7000000000000	16945
7010000000000	16949
7020000000000	17323
7030000000000	17077
7040000000000	17045
7050000000000	17003
7060000000000	16744
7070000000000	17256
7080000000000	16784
7090000000000	17299
7100000000000	16944
7110000000000	17124
7120000000000	17106
7130000000000	16870
7140000000000	17098
7150000000000	16985
7160000000000	17101
7170000000000	16921
7180000000000	16781
7190000000000	16875
7200000000000	17121
7210000000000	16552
7220000000000	17165
7230000000000	16776
7240000000000	17104
7250000000000	16684
7260000000000	17386
7270000000000	16782
7280000000000	17465
7290000000000	16769
7300000000000	17277
7310000000000	16521
7320000000000	17493
7330000000000	16687
7340000000000	17346
7350000000000	16651
7360000000000	17660
7370000000000	16746
7380000000000	17748
7390000000000	16321
7400000000000	17586
7410000000000	16982
7420000000000	17578
7430000000000	16815
7440000000000	17269
7450000000000	17010
7460000000000	17311
7470000000000	17035
7480000000000	17218
7490000000000	16999
7500000000000	17256
7510000000000	17294
7520000000000	17273
7530000000000	16700
7540000000000	17256
7550000000000	17032
7560000000000	17219
7570000000000	16929
7580000000000	17264
7590000000000	17042
7600000000000	17151
7610000000000	17273
7620000000000	16983
7630000000000	17335
7640000000000	16970
7650000000000	17274
7660000000000	16763
7670000000000	17419
7680000000000	16964
7690000000000	17284
7700000000000	16836
7710000000000	17058
7720000000000	17461
7730000000000	17270
7740000000000	17266
7750000000000	17413
7760000000000	16975
7770000000000	17230
7780000000000	16995
7790000000000	17340
7800000000000	17097
7810000000000	17439
7820000000000	17324
7830000000000	16755
7840000000000	17440
7850000000000	17023
7860000000000	17253
7870000000000	17041
7880000000000	17379
7890000000000	17090
7900000000000	17405
7910000000000	17238
7920000000000	17120
7930000000000	17229
7940000000000	17025
7950000000000	17152
7960000000000	17293
7970000000000	16911
7980000000000	16949
7990000000000	16920
8000000000000	17060
8010000000000	17396
8020000000000	16808
8030000000000	17325
8040000000000	16941
8050000000000	17293
8060000000000	16941
8070000000000	16787
8080000000000	16999
8090000000000	17394
8100000000000	16822
8110000000000	17070
8120000000000	16956
8130000000000	17296
8140000000000	16677
8150000000000	16907
8160000000000	17196
8170000000000	17389
8180000000000	16819
8190000000000	17431
8200000000000	16960
8210000000000	17365
8220000000000	17085
8230000000000	17224
8240000000000	17117
8250000000000	17176
8260000000000	16638
8270000000000	17283
8280000000000	16679
8290000000000	17464
8300000000000	17044
8310000000000	17028
8320000000000	17121
8330000000000	16794
8340000000000	17458
8350000000000	17047
8360000000000	17004
8370000000000	16932
8380000000000	17186
8390000000000	16963
8400000000000	17317
8410000000000	16851
8420000000000	17164
8430000000000	17056
8440000000000	17240
8450000000000	16562
8460000000000	17146
8470000000000	16625
8480000000000	17144
8490000000000	16878
8500000000000	16990
8510000000000	16859
8520000000000	17274
8530000000000	17289
8540000000000	17443
8550000000000	16747
8560000000000	17263
8570000000000	16808
8580000000000	17341
8590000000000	16675
8600000000000	17402
8610000000000	16978
8620000000000	17434
8630000000000	16997
8640000000000	17415
8650000000000	16976
8660000000000	17433
8670000000000	16973
8680000000000	17368
8690000000000	16763
8700000000000	17126
8710000000000	16934
8720000000000	17365
8730000000000	16752
8740000000000	17731
8750000000000	16687
8760000000000	16996
8770000000000	16795
8780000000000	17432
8790000000000	17253
8800000000000	17346
8810000000000	16937
8820000000000	17087
8830000000000	16640
8840000000000	17071
8850000000000	16825
8860000000000	17073
8870000000000	17075
8880000000000	17205
8890000000000	16936
8900000000000	17063
8910000000000	17015
8920000000000	17146
8930000000000	16937
8940000000000	17268
8950000000000	17283
8960000000000	16852
8970000000000	17274
8980000000000	17210
8990000000000	17055
9000000000000	17253
9010000000000	17187
9020000000000	17097
9030000000000	17247
9040000000000	16865
9050000000000	17343
9060000000000	16892
9070000000000	17304
9080000000000	16766
9090000000000	17553
9100000000000	16519
9110000000000	17490
9120000000000	16620
9130000000000	17781
9140000000000	16563
9150000000000	17508
9160000000000	16491
9170000000000	17346
9180000000000	16566
9190000000000	17644
9200000000000	16258
9210000000000	17696
9220000000000	16428
9230000000000	17953
9240000000000	16501
9250000000000	17641
9260000000000	16894
9270000000000	17540
9280000000000	16721
9290000000000	17161
9300000000000	16706
9310000000000	17333
9320000000000	17051
9330000000000	17232
9340000000000	17111
9350000000000	17288
9360000000000	16842
9370000000000	17129
9380000000000	16652
9390000000000	17387
9400000000000	16866
9410000000000	17110
9420000000000	17269
9430000000000	16937
9440000000000	17363
9450000000000	16925
9460000000000	17374
9470000000000	17046
9480000000000	17502
9490000000000	17153
9500000000000	17430
9510000000000	16700
9520000000000	17283
9530000000000	16895
9540000000000	17284
9550000000000	16684
9560000000000	17262
9570000000000	16961
9580000000000	17461
9590000000000	16827
9600000000000	17337
9610000000000	16885
9620000000000	17316
9630000000000	16904
9640000000000	17336
9650000000000	16765
9660000000000	17273
9670000000000	17063
9680000000000	17275
9690000000000	17001
9700000000000	17252
9710000000000	16679
9720000000000	17283
9730000000000	16995
9740000000000	17625
9750000000000	17052
9760000000000	17855
9770000000000	16630
9780000000000	17573
9790000000000	16875
9800000000000	17028
9810000000000	16830
9820000000000	17050
9830000000000	16962
9840000000000	17340
9850000000000	17053
9860000000000	17372
9870000000000	16747
9880000000000	17318
9890000000000	16925
9900000000000	17139
9910000000000	17260
9920000000000	17396
9930000000000	17085
9940000000000	17437
9950000000000	17392
9960000000000	16793
9970000000000	17150
9980000000000	16855
9990000000000	17324
