Ratio,a,b,Pct_Change_per_Degree
I_409/I_523,1.229844685618719e-10,6.465005747928105,17.42589150384934
I_409/I_528,1.7975024128022002e-10,6.182701271318416,16.664962995467427
I_409/I_542,9.585362550441978e-05,1.9966641494377941,5.381844068565482
I_409/I_555,2.9451522044690557e-05,2.31081713814278,6.228617623026361
I_409/I_661,3.7694057924174906e-08,3.5497639811774366,9.56809698430576
I_504/I_528,274.66459657561484,-1.9954625130837234,-4.722988196647866
I_504/I_542,2.9882108513915724e-05,1.50895636061484,3.571494344650509
I_504/I_555,4.6249811801596495e-07,2.6307147042594794,6.226543678720661
I_504/I_661,3.996714720548012e-15,7.028827511713543,16.636278134233237
I_523/I_528,161.75627371182364,-1.6586797038329555,-4.470834781220904
I_523/I_542,5251849.417020459,-5.019382969935081,-13.529334150768413
I_523/I_555,2236333.0882028323,-4.797607891393036,-12.931557658741335
I_523/I_661,1995.1200637704148,-3.454645848838311,-9.31171387827038
I_528/I_542,212189.55038892763,-3.9074840177385957,-10.532301934605378
I_528/I_555,73557.57775566581,-3.625457955696966,-9.772123869803142
I_528/I_661,90.97323407345596,-2.380717036206447,-6.417027051769399
I_542/I_555,0.3435894320538896,0.2843487894687152,0.7664387856299602
I_542/I_661,0.0004129521265622705,1.5394418356454178,4.149438910095466
I_555/I_661,0.0011552827794573802,1.2656248898364653,3.411387843224974
