Ratio,Fit_Type,y0,A,power,Pct_Change_per_Degree,RSS
I_523/I_528,inverse,1.585329443669672,3.8788019144165274e-16,9.169791545349097,1.4028719837811787,0.5607926926217652
I_523/I_542,inverse,1057.0850055402334,-1045.9282737116296,0.0015560136111291117,-0.838828915105432,1.1747009301486877
I_523/I_555,inverse,5.918254962870988,1.5844423165407122e-25,15.77161803727046,5.580074388400695,0.6045136198211026
I_523/I_661,inverse,63.29963238495483,7.819268106322848e-23,14.55546657536285,3.1084086520150658,0.6174866892464617
I_528/I_542,inverse,3.2381456635147843,2.231266190652303e-21,13.097885640023192,7.006320841999337,0.9225198160438478
I_528/I_555,inverse,3.2971079320501278,2.3116216057915766e-16,10.045820547507873,7.856284995889687,0.6566468566245475
I_528/I_661,inverse,35.4451341181965,3.6450774439011555e-12,7.929214457209968,4.7504794000248545,0.7095490775220971
I_542/I_555,direct,0.9192321297783398,1.9753093344997375e-20,11.37966850890662,0.46905937914290247,1.3633497053190877
I_542/I_661,direct,0.0858782735148469,1.6228540468752648e-22,12.509529825290345,2.5267612514267,0.7226017688485954
I_555/I_661,direct,0.09245720701745762,8.342189663113092e-21,11.423633767318542,2.186425290684612,0.17895280992750057
