Ratio,y0,A,power,Pct_Change_per_Degree
I_409/I_523,2067.335870528878,-2075.096651716173,-0.0011692699865599187,6.587447940478314
I_409/I_528,0.2651170514068118,3.389077269442304e-22,13.232654278851879,15.257228435137177
I_409/I_542,0.07921400690552308,6.115131293020574e-12,6.242500168959012,5.484157363551188
I_409/I_555,0.07297947562427638,1.0544379498843967e-13,7.339389294844658,6.384366485152591
I_523/I_528,362.58958109427044,-356.77104034740404,0.004204975758602853,-11.534376971855346
I_523/I_542,301.98545721954986,-299.99715862122684,0.0017489930803962113,-16.500315279569143
I_523/I_555,264.768768807513,-262.9607137839128,0.001815723766919881,-16.821633192231452
I_523/I_661,16.481273200813472,-16.30714153822914,0.0028158533505109914,-17.005518011403456
I_528/I_542,-491.1039561092721,493.5353727847683,-0.0012566660288531601,-8.521008109133934
I_528/I_555,0.5848954734946576,-0.0018600371963629605,1.4731988251318409,-7.449344077664211
I_528/I_661,0.0690162597523296,-0.002359730834313128,0.8384006636487894,-5.4639035444148085
I_542/I_555,0.9192321297783398,1.9753093344997375e-20,11.37966850890662,0.46905937914290247
I_542/I_661,0.0858782735148469,1.6228540468752648e-22,12.509529825290345,2.5267612514267
I_555/I_661,0.09245720701745762,8.342189663113092e-21,11.423633767318542,2.186425290684612
