Ratio,coef_deg_0,coef_deg_1,coef_deg_2,coef_deg_3,Pct_Change_per_Degree
I_409/I_523,486.1671827947027,-40.660307828572,1.1168127159620926,-0.010024352047541294,27.416009883471432
I_409/I_528,117.25609472841965,-9.56282877934161,0.25483865400994216,-0.0021967598430161508,25.957060483031285
I_409/I_542,2.9126596242427447,-0.21764017647918274,0.005393825218374879,-4.207789025940908e-05,7.773293098400329
I_409/I_555,3.4000930823931177,-0.25177199290596924,0.0061210065015514245,-4.662889694302115e-05,9.552787742970699
I_409/I_661,-0.11256824932641263,0.0144793562345863,-0.000544431891700795,6.5566178267669546e-06,11.486181721213105
I_504/I_523,0.0,0.0,0.0,0.0,
I_504/I_528,21.305246315327466,-1.7916569777253883,0.04946003311756518,-0.00044663099457618096,32.43648606298412
I_504/I_542,0.7634166889294572,-0.06360773149158801,0.0017351532723777333,-1.542299934199807e-05,34.01072579294175
I_504/I_555,0.6689861308038471,-0.055449394427950535,0.0015023027399441256,-1.3230102568994177e-05,34.73620347278411
I_504/I_661,0.02913588297745388,-0.0022509604087923374,5.513922250074424e-05,-4.151761149974117e-07,39.55940986025683
I_523/I_528,-73.3344820671105,6.214314953745761,-0.17184412342637487,0.0015600145487366472,-27.065707378527552
I_523/I_542,-21.198586742004856,1.7797584625875786,-0.04865624115680574,0.000435438620226013,-34.181185431437115
I_523/I_555,-17.740209780868096,1.4983326525429617,-0.041157021099515766,0.0003698202996940565,-33.94422730869341
I_523/I_661,-1.7594455482715678,0.1488670725335146,-0.0041019780810937325,3.702166875330464e-05,-32.76185012977981
I_528/I_542,-20.03949702991485,1.693641637518155,-0.04621162152288381,0.0004113048770967084,-19.245146839302794
I_528/I_555,-14.932114353327032,1.2815223608282447,-0.0353316902634069,0.00031703646163096466,-18.125298509350706
I_528/I_661,-1.5502253668762522,0.13284977629827055,-0.003672052335580769,3.3143755789722566e-05,-16.485862838177358
I_542/I_555,10.764196038310873,-0.7582266729195195,0.019042552674898093,-0.00015538544040531662,1.4411005296183301
I_542/I_661,-0.5839297455475709,0.06996413133852568,-0.002383949204810238,2.6630536534664622e-05,3.363961485923836
I_555/I_661,-1.3166293439375816,0.12493476417975864,-0.0037007479638268385,3.6710521253930955e-05,1.938638885335854
