0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,1
0.14,6
0.15,11
0.16,60
0.17,182
0.18,394
0.19,774
0.2,1231
0.21,1699
0.22,2187
0.23,2538
0.24,2754
0.25,2913
0.26,2829
0.27,2542
0.28,2162
0.29,1529
0.3,1108
0.31,719
0.32,344
0.33,184
0.34,104
0.35,58
0.36,47
0.37,52
0.38,57
0.39,44
0.4,67
0.41,66
0.42,59
0.43,57
0.44,65
0.45,82
0.46,111
0.47,140
0.48,183
0.49,245
0.5,300
0.51,362
0.52,370
0.53,333
0.54,262
0.55,204
0.56,149
0.57,93
0.58,55
0.59,49
0.6,28
0.61,20
0.62,28
0.63,20
0.64,38
0.65,32
0.66,29
0.67,31
0.68,37
0.69,34
0.7,39
0.71,34
0.72,38
0.73,41
0.74,28
0.75,47
0.76,29
0.77,39
0.78,45
0.79,38
0.8,50
0.81,37
0.82,39
0.83,51
0.84,51
0.85,49
0.86,45
0.87,50
0.88,54
0.89,40
0.9,55
0.91,52
0.92,57
0.93,72
0.94,57
0.95,63
0.96,57
0.97,58
0.98,69
0.99,54
1,65
1.01,55
1.02,59
1.03,70
1.04,92
1.05,80
1.06,77
1.07,75
1.08,73
1.09,84
1.1,74
1.11,71
1.12,84
1.13,66
1.14,78
1.15,68
1.16,87
1.17,78
1.18,91
1.19,82
1.2,67
1.21,88
1.22,92
1.23,91
1.24,100
1.25,100
1.26,110
1.27,85
1.28,116
1.29,103
1.3,104
1.31,105
1.32,109
1.33,94
1.34,88
1.35,74
1.36,117
1.37,95
1.38,117
1.39,93
1.4,118
1.41,92
1.42,108
1.43,117
1.44,127
1.45,111
1.46,131
1.47,116
1.48,160
1.49,163
1.5,144
1.51,178
1.52,160
1.53,152
1.54,154
1.55,168
1.56,135
1.57,164
1.58,135
1.59,112
1.6,103
1.61,113
1.62,141
1.63,137
1.64,173
1.65,171
1.66,242
1.67,339
1.68,530
1.69,738
1.7,1033
1.71,1307
1.72,1613
1.73,1886
1.74,2061
1.75,2009
1.76,1906
1.77,1654
1.78,1368
1.79,1083
1.8,797
1.81,538
1.82,400
1.83,314
1.84,221
1.85,218
1.86,178
1.87,139
1.88,143
1.89,137
1.9,103
1.91,93
1.92,85
1.93,79
1.94,85
1.95,87
1.96,80
1.97,83
1.98,92
1.99,89
2,79
2.01,85
2.02,92
2.03,114
2.04,90
2.05,106
2.06,81
2.07,75
2.08,91
2.09,85
2.1,84
2.11,78
2.12,84
2.13,90
2.14,92
2.15,76
2.16,80
2.17,97
2.18,77
2.19,83
2.2,96
2.21,84
2.22,77
2.23,88
2.24,98
2.25,107
2.26,78
2.27,103
2.28,87
2.29,80
2.3,94
2.31,83
2.32,83
2.33,87
2.34,73
2.35,92
2.36,78
2.37,93
2.38,71
2.39,103
2.4,107
2.41,90
2.42,88
2.43,82
2.44,75
2.45,82
2.46,81
2.47,68
2.48,93
2.49,96
2.5,82
2.51,92
2.52,93
2.53,87
2.54,82
2.55,101
2.56,78
2.57,61
2.58,70
2.59,77
2.6,72
2.61,79
2.62,65
2.63,83
2.64,72
2.65,84
2.66,85
2.67,77
2.68,80
2.69,70
2.7,76
2.71,85
2.72,67
2.73,76
2.74,80
2.75,71
2.76,76
2.77,73
2.78,82
2.79,85
2.8,67
2.81,78
2.82,62
2.83,97
2.84,77
2.85,74
2.86,77
2.87,74
2.88,91
2.89,66
2.9,66
2.91,65
2.92,73
2.93,72
2.94,65
2.95,70
2.96,63
2.97,71
2.98,63
2.99,54
3,71
3.01,52
3.02,52
3.03,76
3.04,59
3.05,59
3.06,70
3.07,77
3.08,62
3.09,77
3.1,71
3.11,62
3.12,55
3.13,66
3.14,61
3.15,58
3.16,64
3.17,61
3.18,59
3.19,62
3.2,67
3.21,66
3.22,58
3.23,71
3.24,64
3.25,53
3.26,68
3.27,66
3.28,63
3.29,63
3.3,65
3.31,73
3.32,62
3.33,58
3.34,57
3.35,63
3.36,63
3.37,52
3.38,45
3.39,65
3.4,66
3.41,61
3.42,63
3.43,61
3.44,60
3.45,52
3.46,64
3.47,64
3.48,73
3.49,53
3.5,59
3.51,61
3.52,52
3.53,55
3.54,66
3.55,57
3.56,61
3.57,55
3.58,53
3.59,59
3.6,58
3.61,50
3.62,49
3.63,63
3.64,59
3.65,50
3.66,47
3.67,46
3.68,57
3.69,52
3.7,61
3.71,62
3.72,48
3.73,55
3.74,53
3.75,65
3.76,55
3.77,53
3.78,61
3.79,50
3.8,49
3.81,63
3.82,56
3.83,35
3.84,48
3.85,54
3.86,47
3.87,49
3.88,40
3.89,62
3.9,44
3.91,54
3.92,53
3.93,51
3.94,46
3.95,55
3.96,45
3.97,47
3.98,45
3.99,52
4,60
4.01,45
4.02,36
4.03,48
4.04,37
4.05,42
4.06,57
4.07,40
4.08,68
4.09,32
4.1,51
4.11,42
4.12,46
4.13,43
4.14,51
4.15,36
4.16,37
4.17,46
4.18,55
4.19,46
4.2,49
4.21,53
4.22,43
4.23,55
4.24,46
4.25,53
4.26,38
4.27,51
4.28,41
4.29,44
4.3,56
4.31,46
4.32,46
4.33,44
4.34,43
4.35,41
4.36,44
4.37,47
4.38,52
4.39,47
4.4,44
4.41,51
4.42,48
4.43,47
4.44,45
4.45,64
4.46,37
4.47,72
4.48,48
4.49,45
4.5,42
4.51,43
4.52,39
4.53,48
4.54,31
4.55,42
4.56,48
4.57,40
4.58,31
4.59,46
4.6,50
4.61,36
4.62,41
4.63,58
4.64,43
4.65,41
4.66,37
4.67,40
4.68,39
4.69,38
4.7,51
4.71,56
4.72,45
4.73,30
4.74,29
4.75,52
4.76,43
4.77,41
4.78,32
4.79,26
4.8,25
4.81,50
4.82,52
4.83,39
4.84,31
4.85,45
4.86,41
4.87,37
4.88,41
4.89,36
4.9,40
4.91,44
4.92,45
4.93,32
4.94,45
4.95,37
4.96,45
4.97,33
4.98,30
4.99,37
5,45
5.01,43
5.02,48
5.03,39
5.04,36
5.05,34
5.06,26
5.07,27
5.08,37
5.09,39
5.1,38
5.11,42
5.12,51
5.13,40
5.14,34
5.15,51
5.16,45
5.17,34
5.18,49
5.19,32
5.2,49
5.21,29
5.22,31
5.23,32
5.24,36
5.25,37
5.26,30
5.27,46
5.28,31
5.29,35
5.3,36
5.31,36
5.32,34
5.33,30
5.34,36
5.35,30
5.36,36
5.37,38
5.38,33
5.39,42
5.4,31
5.41,37
5.42,34
5.43,35
5.44,32
5.45,37
5.46,35
5.47,32
5.48,31
5.49,32
5.5,34
5.51,38
5.52,26
5.53,29
5.54,32
5.55,28
5.56,30
5.57,39
5.58,34
5.59,31
5.6,31
5.61,34
5.62,33
5.63,33
5.64,31
5.65,33
5.66,43
5.67,29
5.68,36
5.69,33
5.7,33
5.71,36
5.72,32
5.73,32
5.74,34
5.75,39
5.76,39
5.77,42
5.78,29
5.79,31
5.8,36
5.81,35
5.82,42
5.83,30
5.84,34
5.85,32
5.86,33
5.87,37
5.88,31
5.89,32
5.9,31
5.91,36
5.92,27
5.93,19
5.94,28
5.95,27
5.96,25
5.97,21
5.98,24
5.99,32
6,25
6.01,33
6.02,37
6.03,24
6.04,26
6.05,31
6.06,33
6.07,27
6.08,35
6.09,30
6.1,38
6.11,34
6.12,37
6.13,29
6.14,16
6.15,29
6.16,23
6.17,24
6.18,25
6.19,35
6.2,30
6.21,30
