0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,2
0.15,12
0.16,26
0.17,103
0.18,208
0.19,416
0.2,641
0.21,892
0.22,1237
0.23,1468
0.24,1547
0.25,1728
0.26,1601
0.27,1467
0.28,1225
0.29,907
0.3,680
0.31,389
0.32,252
0.33,124
0.34,80
0.35,61
0.36,56
0.37,40
0.38,41
0.39,46
0.4,46
0.41,42
0.42,48
0.43,67
0.44,63
0.45,62
0.46,79
0.47,93
0.48,90
0.49,114
0.5,150
0.51,171
0.52,181
0.53,150
0.54,166
0.55,130
0.56,117
0.57,96
0.58,74
0.59,76
0.6,87
0.61,101
0.62,113
0.63,169
0.64,202
0.65,292
0.66,303
0.67,342
0.68,347
0.69,326
0.7,301
0.71,184
0.72,169
0.73,123
0.74,91
0.75,80
0.76,74
0.77,65
0.78,69
0.79,66
0.8,84
0.81,77
0.82,86
0.83,65
0.84,90
0.85,89
0.86,88
0.87,106
0.88,94
0.89,107
0.9,95
0.91,88
0.92,100
0.93,89
0.94,91
0.95,92
0.96,116
0.97,147
0.98,155
0.99,160
1,179
1.01,247
1.02,279
1.03,335
1.04,294
1.05,321
1.06,305
1.07,271
1.08,252
1.09,225
1.1,179
1.11,168
1.12,156
1.13,167
1.14,184
1.15,172
1.16,193
1.17,190
1.18,206
1.19,196
1.2,214
1.21,185
1.22,207
1.23,183
1.24,180
1.25,157
1.26,159
1.27,171
1.28,134
1.29,156
1.3,162
1.31,150
1.32,147
1.33,159
1.34,155
1.35,153
1.36,169
1.37,193
1.38,210
1.39,208
1.4,248
1.41,266
1.42,273
1.43,276
1.44,312
1.45,384
1.46,411
1.47,484
1.48,544
1.49,654
1.5,821
1.51,902
1.52,973
1.53,1025
1.54,1030
1.55,994
1.56,853
1.57,781
1.58,654
1.59,604
1.6,489
1.61,382
1.62,306
1.63,266
1.64,251
1.65,221
1.66,217
1.67,211
1.68,303
1.69,358
1.7,496
1.71,534
1.72,674
1.73,810
1.74,843
1.75,819
1.76,796
1.77,747
1.78,633
1.79,513
1.8,415
1.81,310
1.82,279
1.83,221
1.84,189
1.85,189
1.86,179
1.87,164
1.88,155
1.89,147
1.9,137
1.91,131
1.92,140
1.93,137
1.94,155
1.95,126
1.96,139
1.97,119
1.98,136
1.99,156
2,129
2.01,125
2.02,133
2.03,134
2.04,127
2.05,130
2.06,136
2.07,128
2.08,122
2.09,131
2.1,128
2.11,149
2.12,133
2.13,124
2.14,143
2.15,132
2.16,123
2.17,116
2.18,110
2.19,115
2.2,139
2.21,132
2.22,136
2.23,99
2.24,127
2.25,124
2.26,143
2.27,121
2.28,143
2.29,142
2.3,132
2.31,105
2.32,122
2.33,133
2.34,149
2.35,160
2.36,193
2.37,227
2.38,265
2.39,296
2.4,338
2.41,378
2.42,443
2.43,479
2.44,459
2.45,477
2.46,433
2.47,397
2.48,336
2.49,361
2.5,344
2.51,372
2.52,311
2.53,354
2.54,313
2.55,315
2.56,286
2.57,260
2.58,261
2.59,209
2.6,197
2.61,180
2.62,133
2.63,137
2.64,133
2.65,99
2.66,111
2.67,103
2.68,107
2.69,126
2.7,97
2.71,138
2.72,122
2.73,127
2.74,156
2.75,127
2.76,141
2.77,126
2.78,108
2.79,115
2.8,90
2.81,125
2.82,105
2.83,96
2.84,111
2.85,98
2.86,120
2.87,102
2.88,100
2.89,104
2.9,96
2.91,109
2.92,120
2.93,100
2.94,101
2.95,115
2.96,118
2.97,101
2.98,109
2.99,82
3,89
3.01,101
3.02,102
3.03,99
3.04,98
3.05,115
3.06,112
3.07,104
3.08,96
3.09,90
3.1,129
3.11,93
3.12,112
3.13,96
3.14,114
3.15,121
3.16,110
3.17,100
3.18,118
3.19,98
3.2,102
3.21,102
3.22,100
3.23,117
3.24,126
3.25,96
3.26,103
3.27,101
3.28,95
3.29,98
3.3,124
3.31,92
3.32,120
3.33,89
3.34,101
3.35,98
3.36,110
3.37,111
3.38,92
3.39,96
3.4,100
3.41,115
3.42,107
3.43,106
3.44,90
3.45,91
3.46,86
3.47,101
3.48,114
3.49,75
3.5,87
3.51,88
3.52,104
3.53,109
3.54,104
3.55,94
3.56,93
3.57,111
3.58,99
3.59,90
3.6,83
3.61,100
3.62,89
3.63,94
3.64,83
3.65,82
3.66,93
3.67,89
3.68,82
3.69,91
3.7,88
3.71,101
3.72,97
3.73,78
3.74,85
3.75,84
3.76,81
3.77,80
3.78,89
3.79,72
3.8,97
3.81,94
3.82,99
3.83,95
3.84,86
3.85,88
3.86,108
3.87,92
3.88,95
3.89,98
3.9,93
3.91,80
3.92,88
3.93,86
3.94,82
3.95,83
3.96,74
3.97,78
3.98,101
3.99,82
4,70
4.01,77
4.02,90
4.03,95
4.04,88
4.05,84
4.06,80
4.07,101
4.08,88
4.09,69
4.1,75
4.11,84
4.12,83
4.13,85
4.14,85
4.15,79
4.16,92
4.17,82
4.18,62
4.19,73
4.2,85
4.21,79
4.22,70
4.23,99
4.24,87
4.25,94
4.26,107
4.27,68
4.28,75
4.29,61
4.3,73
4.31,82
4.32,85
4.33,81
4.34,81
4.35,91
4.36,73
4.37,73
4.38,83
4.39,81
4.4,80
4.41,82
4.42,75
4.43,84
4.44,67
4.45,71
4.46,65
4.47,69
4.48,78
4.49,71
4.5,66
4.51,76
4.52,81
4.53,67
4.54,79
4.55,77
4.56,74
4.57,68
4.58,80
4.59,76
4.6,80
4.61,59
4.62,76
4.63,88
4.64,75
4.65,81
4.66,62
4.67,66
4.68,79
4.69,82
4.7,76
4.71,67
4.72,77
4.73,70
4.74,72
4.75,81
4.76,73
4.77,64
4.78,68
4.79,81
4.8,57
4.81,77
4.82,77
4.83,76
4.84,80
4.85,85
4.86,68
4.87,61
4.88,80
4.89,70
4.9,72
4.91,79
4.92,59
4.93,73
4.94,63
4.95,72
4.96,67
4.97,71
4.98,78
4.99,80
5,87
5.01,85
5.02,76
5.03,75
5.04,59
5.05,75
5.06,80
5.07,80
5.08,66
5.09,69
5.1,78
5.11,75
5.12,59
5.13,74
5.14,71
5.15,69
5.16,74
5.17,70
5.18,68
5.19,73
5.2,61
5.21,73
5.22,68
5.23,72
5.24,85
5.25,61
5.26,83
5.27,72
5.28,73
5.29,73
5.3,57
5.31,72
5.32,65
5.33,74
5.34,64
5.35,54
5.36,77
5.37,70
5.38,71
5.39,74
5.4,70
5.41,67
5.42,83
5.43,69
5.44,65
5.45,64
5.46,56
5.47,55
5.48,59
5.49,68
5.5,73
5.51,55
5.52,59
5.53,51
5.54,64
5.55,45
5.56,66
5.57,53
5.58,77
5.59,55
5.6,63
5.61,78
5.62,60
5.63,77
5.64,70
5.65,63
5.66,69
5.67,62
5.68,49
5.69,62
5.7,76
5.71,59
5.72,59
5.73,61
5.74,50
5.75,68
5.76,45
5.77,66
5.78,55
5.79,59
5.8,62
5.81,77
5.82,51
5.83,69
5.84,65
5.85,68
5.86,72
5.87,62
5.88,69
5.89,73
5.9,66
5.91,65
5.92,56
5.93,70
5.94,63
5.95,53
5.96,63
5.97,65
5.98,79
5.99,66
6,63
6.01,57
6.02,48
6.03,63
6.04,64
6.05,61
6.06,68
6.07,65
6.08,54
6.09,59
6.1,47
6.11,41
6.12,55
6.13,85
6.14,62
6.15,60
6.16,59
6.17,51
6.18,75
6.19,63
6.2,59
6.21,74
6.22,78
6.23,68
