350	882.08478
350.05276	869.79279
350.10556	879.94568
350.15833	881.92706
350.21112	869.5849
350.26389	879.12488
350.31668	875.53723
350.36945	875.95148
350.42224	875.63898
350.47501	877.62488
350.5278	879.20667
350.58057	875.12341
350.63336	877.48157
350.68613	877.4137
350.73892	876.41235
350.79169	887.15759
350.84448	877.20313
350.89725	867.18793
350.95004	877.92145
351.00281	874.47473
351.0556	875.47375
351.10837	880.93848
351.16116	879.47675
351.21393	879.95074
351.26672	870.67163
351.31949	869.96924
351.37228	886.36316
351.42505	879.75635
351.47784	877.06567
351.53061	873.63159
351.5834	871.09186
351.63617	878.4234
351.68896	869.17981
351.74173	869.82385
351.79453	877.73566
351.84729	882.53619
351.90009	869.8031
351.95285	871.57825
352.00562	872.37488
352.05841	876.42151
352.11118	871.63293
352.16397	872.67377
352.21674	877.26892
352.26953	882.66858
352.3223	875.69226
352.37509	873.98779
352.42786	877.29651
352.48065	878.32983
352.53342	869.64954
352.58621	877.4339
352.63898	880.63751
352.69177	878.4519
352.74454	876.27759
352.79733	871.0672
352.8501	877.48596
352.90289	877.01306
352.95566	874.81635
353.00845	873.99854
353.06122	873.11133
353.11401	877.88977
353.16678	874.79974
353.21957	872.24365
353.27234	876.39331
353.32513	881.6087
353.3779	879.17133
353.43069	878.60773
353.48346	875.95398
353.53625	877.76208
353.58902	878.14899
353.64182	875.72925
353.69458	879.45276
353.74738	875.40802
353.80014	876.33185
353.85291	881.30042
353.9057	876.02301
353.95847	876.23871
354.01126	869.79083
354.06403	870.50867
354.11682	874.82666
354.16959	876.17126
354.22238	871.47766
354.27515	873.98218
354.32794	876.83795
354.38071	877.15173
354.4335	873.26636
354.48627	873.0022
354.53906	876.78693
354.59183	883.50061
354.64462	874.76367
354.69739	869.81012
354.75018	873.30048
354.80295	878.42236
354.85574	880.15686
354.90851	875.00604
354.9613	874.37451
355.01407	878.00238
355.06686	875.68311
355.11963	871.42682
355.17242	870.57849
355.22519	876.75293
355.27798	878.85773
355.33075	875.76941
355.38354	876.86969
355.43631	882.18555
355.48911	880.66315
355.54187	875.79083
355.59467	878.04675
355.64743	879.04602
355.70023	875.08527
355.75299	871.31195
355.80576	875.7959
355.85855	882.96313
355.91132	881.46637
355.96411	875.26575
356.01688	876.1178
356.06967	881.49622
356.12244	880.20569
356.17523	876.94324
356.228	877.65961
356.28079	880.11707
356.33356	877.13715
356.38635	871.95288
356.43912	871.23785
356.49191	875.36621
356.54468	875.64783
356.59747	873.55817
356.65024	871.7478
356.70303	876.38123
356.7558	880.88757
356.80859	878.11841
356.86136	880.49988
356.91415	877.77991
356.96692	873.97919
357.01971	872.97058
357.07248	874.70941
357.12527	874.41443
357.17804	875.39026
357.23083	874.39343
357.2836	875.52002
357.3364	877.77563
357.38916	875.19275
357.44196	875.90674
357.49472	876.58661
357.54752	879.86273
357.60028	880.21088
357.65308	878.90851
357.70584	876.84076
357.75861	879.70471
357.8114	877.79077
357.86417	872.43298
357.91696	871.96088
357.96973	875.52216
358.02252	883.44263
358.07529	881.09119
358.12808	877.63641
358.18085	882.77826
358.23364	883.18799
358.28641	877.95905
358.3392	877.9527
358.39197	879.28479
358.44476	873.34076
358.49753	869.76733
358.55032	870.46069
358.60309	879.5752
358.65588	878.03906
358.70865	873.53406
358.76144	875.07678
358.81421	874.31854
358.867	872.41077
358.91977	870.4295
358.97256	868.6972
359.02533	880.64288
359.07813	884.02887
359.13089	871.58081
359.18369	871.14935
359.23645	871.93439
359.28925	877.20813
359.34201	877.94543
359.39481	879.44562
359.44757	875.13361
359.50037	882.23993
359.55313	874.48474
359.60593	873.79926
359.65869	879.68207
359.71146	874.61969
359.76425	869.60638
359.81702	875.57166
359.86981	880.98358
359.92258	878.53888
359.97537	870.11865
360.02814	870.55121
360.08093	878.36151
360.1337	882.80487
360.18649	876.09082
360.23926	875.745
360.29205	879.57758
360.34482	878.33081
360.39761	867.38538
360.45038	882.03033
360.50317	877.05981
360.55594	872.5943
360.60873	872.0946
360.6615	877.06104
360.71429	873.13428
360.76706	884.88928
360.81985	873.83258
360.87262	876.50464
360.92542	884.33167
360.97818	888.91693
361.03098	875.65253
361.08374	877.93762
361.13654	879.9707
361.1893	884.31799
361.2421	876.58984
361.29486	880.26984
361.34766	874.06244
361.40042	876.33551
361.45322	871.50568
361.50598	871.05914
361.55875	883.78845
361.61154	882.34161
361.66431	874.85626
361.7171	874.94562
361.76987	873.26923
361.82266	875.70154
361.87543	871.20483
361.92822	881.91901
361.98099	876.14404
362.03378	877.63452
362.08655	875.02521
362.13934	874.96228
362.19211	878.43689
