500	908.42255
500.0513	911.51288
500.1026	906.22888
500.15387	909.93451
500.20517	908.07928
500.25647	916.85876
500.30777	915.05554
500.35907	909.33716
500.41034	902.54535
500.46164	916.99237
500.51294	920.60852
500.56424	907.43243
500.61554	913.79962
500.66681	912.64764
500.71811	907.95355
500.76941	918.64581
500.82071	923.45752
500.87198	911.91333
500.92328	906.69171
500.97458	906.02222
501.02588	915.5943
501.07718	910.86383
501.12845	908.18445
501.17975	908.82574
501.23105	913.90332
501.28235	918.02051
501.33365	910.73071
501.38492	905.93158
501.43622	903.45148
501.48752	906.31201
501.53882	915.26471
501.59012	912.66974
501.64139	909.3631
501.69269	906.87848
501.74399	909.17426
501.79529	909.1554
501.84659	919.15839
501.89786	921.62457
501.94916	908.21765
502.00046	908.02954
502.05176	908.71429
502.10306	916.3996
502.15433	904.5105
502.20563	917.00159
502.25693	903.01318
502.30823	923.03082
502.3595	922.03107
502.4108	901.57385
502.4621	914.26569
502.5134	914.95673
502.5647	916.73523
502.61597	905.50629
502.66727	901.32593
502.71857	908.32562
502.76987	905.81134
502.82117	911.84741
502.87244	909.24573
502.92374	909.96783
502.97504	913.58191
503.02634	909.91956
503.07764	912.32843
503.12891	916.58691
503.18021	916.41949
503.23151	916.80603
503.28281	911.93457
503.33411	921.14545
503.38538	926.32813
503.43668	915.08331
503.48798	913.27838
503.53928	917.93011
503.59058	915.06964
503.64185	908.83527
503.69315	907.54059
503.74445	909.3877
503.79575	911.33618
503.84705	917.4765
503.89832	917.25427
503.94962	903.77826
504.00092	905.07135
504.05222	915.50555
504.10349	918.73199
504.15479	911.547
504.20609	909.42377
504.25739	915.77112
504.30869	904.30298
504.35995	897.25336
504.41125	913.16803
504.46255	915.05579
504.51385	915.03204
504.56516	904.30493
504.61642	912.52686
504.66772	908.33234
504.71902	899.82056
504.77032	914.72522
504.82162	916.03522
504.87289	913.3728
504.92419	903.95691
504.97549	908.87421
505.02679	906.99261
505.07809	917.55792
505.12936	910.33716
505.18066	905.03394
505.23196	906.03229
505.28326	909.24628
505.33456	911.27185
505.38583	903.88861
505.43713	907.1825
505.48843	917.42072
505.53973	915.31
505.591	907.52728
505.6423	910.72162
505.6936	921.57416
505.7449	920.00586
505.7962	907.3681
505.84747	902.95056
505.89877	908.63544
505.95007	911.67352
506.00137	905.71832
506.05267	904.32074
506.10394	905.8952
506.15524	908.57233
506.20654	904.12817
506.25784	909.97211
506.30914	919.47888
506.36041	910.58264
506.41171	907.40601
506.46301	909.33551
506.51431	911.26514
506.56561	912.30634
506.61688	899.41364
506.66818	910.03625
506.71948	910.01251
506.77078	923.45776
506.82208	913.63934
506.87335	901.04193
506.92465	911.51343
506.97595	912.89398
